---
TYPE: course_allocation
STUDENTS: s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16, s17, s18, s19, s20, s21, s22, s23, s24, s25, s26, s27, s28, s29, s30, s31, s32, s33, s34, s35, s36, s37, s38, s39, s40, s41, s42, s43, s44, s45, s46, s47, s48, s49, s50, s51, s52, s53, s54, s55, s56, s57, s58, s59, s60, s61, s62, s63, s64, s65, s66, s67, s68, s69, s70, s71, s72, s73, s74, s75, s76, s77, s78, s79, s80, s81, s82, s83, s84, s85, s86, s87, s88, s89, s90, s91, s92, s93, s94, s95, s96, s97, s98, s99, s100, s101, s102, s103, s104, s105, s106, s107, s108, s109, s110, s111, s112, s113, s114, s115, s116, s117, s118, s119, s120, s121, s122, s123, s124, s125, s126, s127, s128, s129, s130, s131, s132, s133, s134, s135, s136, s137, s138, s139, s140, s141, s142, s143, s144, s145, s146, s147, s148, s149, s150, s151, s152, s153, s154, s155, s156, s157, s158, s159, s160, s161, s162, s163, s164, s165, s166, s167, s168, s169, s170, s171, s172, s173, s174, s175, s176, s177, s178, s179, s180, s181, s182, s183, s184, s185, s186, s187, s188, s189, s190, s191, s192, s193, s194, s195, s196, s197, s198, s199, s200
COURSES: c1, c2, c3, c4, c5, c6, c7, c8, c9, c10
COURSE_CAPACITIES:
c1: 15
c2: 15
c3: 15
c4: 15
c5: 15
c6: 15
c7: 15
c8: 15
c9: 15
c10: 15
STUDENT_PREFERENCES:
s1: c3, c2, c4, c5, c6, c1, c8, c10, c7, c9
s2: c6, c9, c2, c7, c8, c4, c10, c5, c1, c3
s3: c6, c7, c8, c4, c10, c1, c2, c3, c5, c9
s4: c1, c7, c3, c2, c8, c9, c10, c6, c4, c5
s5: c5, c10, c3, c1, c2, c4, c8, c7, c6, c9
s6: c5, c7, c1, c8, c3, c2, c9, c10, c6, c4
s7: c10, c9, c3, c1, c4, c5, c6, c7, c8, c2
s8: c3, c10, c9, c8, c7, c5, c1, c2, c4, c6
s9: c9, c8, c6, c1, c10, c4, c3, c7, c2, c5
s10: c3, c7, c9, c2, c8, c6, c1, c10, c4, c5
s11: c5, c1, c2, c7, c3, c8, c9, c4, c6, c10
s12: c9, c5, c4, c1, c2, c8, c3, c7, c6, c10
s13: c9, c6, c5, c3, c10, c4, c7, c1, c2, c8
s14: c9, c5, c8, c10, c7, c2, c6, c3, c1, c4
s15: c6, c3, c1, c7, c4, c9, c10, c5, c8, c2
s16: c2, c8, c3, c10, c7, c5, c9, c4, c1, c6
s17: c5, c3, c1, c2, c8, c10, c7, c9, c6, c4
