---
TYPE: stable_matching
MEN: m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50, m51, m52, m53, m54, m55, m56, m57, m58, m59, m60, m61, m62, m63, m64, m65, m66, m67, m68, m69, m70, m71, m72, m73, m74, m75, m76, m77, m78, m79, m80, m81, m82, m83, m84, m85, m86, m87, m88, m89, m90, m91, m92, m93, m94, m95, m96, m97, m98, m99, m100
WOMEN: w1, w2, w3, w4, w5, w6, w7, w8, w9, w10, w11, w12, w13, w14, w15, w16, w17, w18, w19, w20, w21, w22, w23, w24, w25, w26, w27, w28, w29, w30, w31, w32, w33, w34, w35, w36, w37, w38, w39, w40, w41, w42, w43, w44, w45, w46, w47, w48, w49, w50, w51, w52, w53, w54, w55, w56, w57, w58, w59, w60, w61, w62, w63, w64, w65, w66, w67, w68, w69, w70, w71, w72, w73, w74, w75, w76, w77, w78, w79, w80, w81, w82, w83, w84, w85, w86, w87, w88, w89, w90, w91, w92, w93, w94, w95, w96, w97, w98, w99, w100
MEN_PREFERENCES:
m1: w47, w94, w89, w24, w14, w65, w48, w79, w2, w75, w43, w6, w77, w72, w11, w40, w16, w64, w58, w28, w93, w34, w18, w80, w98, w29, w52, w97, w12, w54, w76, w3, w63, w71, w4, w88, w38, w59, w9, w61, w49, w32, w70, w83, w100, w84, w99, w1, w96, w87, w67, w91, w50, w68, w5, w13, w26, w46, w53, w56, w19, w37, w25, w90, w51, w74, w20, w31, w95, w45, w8, w85, w41, w66, w33, w81, w15, w57, w27, w21, w30, w23, w7, w35, w78, w86, w69, w92, w44, w39, w73, w60, w42, w17, w10, w36, w55, w22, w62, w82
m2: w89, w30, w28, w85, w12, w42, w27, w15, w46, w53, w22, w14, w63, w32, w34, w4, w51, w58, w24, w21, w96, w66, w20, w62, w25, w17, w7, w71, w76, w37, w43, w97, w92, w54, w74, w88, w44, w40, w86, w10, w26, w75, w2, w65, w87, w11, w80, w64, w95, w38, w55, w6, w5, w57, w81, w83, w82, w31, w68, w99, w93, w72, w98, w69, w39, w48, w79, w84, w1, w8, w35, w3, w16, w19, w49, w47, w61, w73, w77, w13, w36, w18, w67, w59, w9, w41, w50, w60, w78, w29, w45, w91, w100, w70, w33, w52, w94, w56, w23, w90
m3: w7, w93, w34, w89, w36, w94, w6, w62, w90, w35, w88, w44, w22, w50, w13, w30, w60, w21, w47, w99, w54, w77, w12, w48, w76, w96, w32, w23, w92, w91, w40, w81, w70, w51, w87, w18, w39, w16, w100, w85, w64, w11, w2, w20, w68, w55, w29, w80, w27, w66, w79, w15, w43, w61, w78, w71, w49, w10, w95, w41, w5, w56, w26, w8, w19, w86, w42, w33, w3, w24, w4, w63, w58, w59, w38, w82, w65, w31, w84, w73, w45, w9, w69, w67, w25, w72, w83, w17, w97, w52, w75, w1, w28, w46, w57, w74, w98, w53, w37, w14
m4: w85, w17, w92, w83, w27, w97, w29, w88, w21, w44, w86, w40, w89, w60, w81, w50, w43, w77, w18, w79, w71, w58, w19, w26, w39, w72, w98, w32, w41, w100, w82, w95, w68, w69, w1, w65, w56, w90, w14, w62, w66, w15, w3, w4, w23, w91, w8, w6, w55, w10, w30, w9, w61, w75, w46, w22, w13, w67, w25, w94, w51, w59, w37, w31, w93, w38, w99, w73, w63, w48, w33, w42, w78, w74, w64, w7, w54, w16, w96, w53, w84, w76, w35, w47, w70, w28, w87, w20, w52, w57, w5, w45, w36, w34, w11, w49, w2, w12, w80, w24
m5: w50, w27, w2, w5, w25, w62, w55, w12, w52, w18, w38, w34, w11, w88, w64, w19, w49, w43, w84, w23, w67, w16, w26, w61, w15, w90, w45, w80, w79, w4, w3, w99, w57, w20, w63, w40, w97, w94, w10, w33, w47, w30, w74, w35, w100, w7, w39, w68, w96, w17, w83, w29, w85, w58, w71, w70, w24, w60, w6, w66, w73, w14, w46, w42, w53, w95, w78, w31, w81, w9, w98, w69, w86, w93, w54, w32, w59, w8, w37, w28, w36, w91, w75, w65, w87, w48, w77, w72, w56, w22, w92, w13, w44, w21, w1, w41, w82, w51, w76, w89
m6: w89, w35, w27, w54, w10, w69, w88, w62, w32, w44, w66, w67, w83, w17, w56, w50, w7, w90, w15, w76, w96, w6, w98, w19, w42, w8, w30, w22, w79, w58, w4, w20, w28, w85, w63, w75, w16, w80, w2, w64, w33, w47, w21, w45, w81, w60, w48, w46, w11, w59, w9, w87, w51, w31, w78, w37, w97, w18, w93, w77, w24, w36, w84, w49, w52, w26, w92, w34, w71, w68, w3, w86, w72, w38, w40, w57, w25, w53, w43, w14, w29, w13, w61, w39, w95, w55, w74, w1, w5, w91, w65, w12, w94, w100, w82, w99, w41, w23, w70, w73
m7: w44, w16, w100, w83, w15, w90, w61, w42, w84, w22, w41, w65, w32, w62, w81, w51, w26, w57, w18, w43, w92, w73, w27, w63, w79, w12, w1, w38, w47, w39, w2, w23, w89, w11, w94, w53, w67, w68, w37, w4, w71, w48, w93, w14, w49, w30, w19, w99, w6, w45, w9, w98, w40, w74, w96, w87, w25, w36, w76, w55, w46, w8, w75, w17, w77, w91, w60, w3, w10, w31, w66, w50, w82, w35, w7, w97, w34, w52, w59, w33, w20, w5, w80, w13, w70, w56, w21, w58, w28, w78, w69, w64, w72, w86, w88, w54, w85, w29, w95, w24
m8: w29, w16, w95, w89, w98, w53, w64, w6, w26, w32, w13, w36, w65, w27, w9, w100, w55, w51, w31, w86, w37, w40, w44, w20, w11, w12, w52, w24, w1, w85, w66, w87, w50, w8, w58, w14, w7, w84, w15, w39, w81, w47, w4, w78, w3, w41, w34, w18, w56, w70, w57, w76, w49, w88, w72, w71, w69, w75, w10, w5, w54, w96, w93, w48, w21, w43, w30, w60, w97, w19, w45, w67, w99, w83, w73, w25, w90, w77, w61, w46, w82, w22, w17, w33, w91, w63, w79, w68, w74, w28, w35, w23, w94, w62, w59, w92, w80, w42, w2, w38
