---
TYPE: stable_matching
MEN: m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50, m51, m52, m53, m54, m55, m56, m57, m58, m59, m60, m61, m62, m63, m64, m65, m66, m67, m68, m69, m70, m71, m72, m73, m74, m75, m76, m77, m78, m79, m80, m81, m82, m83, m84, m85, m86, m87, m88, m89, m90, m91, m92, m93, m94, m95, m96, m97, m98, m99, m100, m101, m102, m103, m104, m105, m106, m107, m108, m109, m110, m111, m112, m113, m114, m115, m116, m117, m118, m119, m120, m121, m122, m123, m124, m125, m126, m127, m128, m129, m130, m131, m132, m133, m134, m135, m136, m137, m138, m139, m140, m141, m142, m143, m144, m145, m146, m147, m148, m149, m150, m151, m152, m153, m154, m155, m156, m157, m158, m159, m160, m161, m162, m163, m164, m165, m166, m167, m168, m169, m170, m171, m172, m173, m174, m175, m176, m177, m178, m179, m180, m181, m182, m183, m184, m185, m186, m187, m188, m189, m190, m191, m192, m193, m194, m195, m196, m197, m198, m199, m200, m201, m202, m203, m204, m205, m206, m207, m208, m209, m210, m211, m212, m213, m214, m215, m216, m217, m218, m219, m220, m221, m222, m223, m224, m225, m226, m227, m228, m229, m230, m231, m232, m233, m234, m235, m236, m237, m238, m239, m240, m241, m242, m243, m244, m245, m246, m247, m248, m249, m250
WOMEN: w1, w2, w3, w4, w5, w6, w7, w8, w9, w10, w11, w12, w13, w14, w15, w16, w17, w18, w19, w20, w21, w22, w23, w24, w25, w26, w27, w28, w29, w30, w31, w32, w33, w34, w35, w36, w37, w38, w39, w40, w41, w42, w43, w44, w45, w46, w47, w48, w49, w50, w51, w52, w53, w54, w55, w56, w57, w58, w59, w60, w61, w62, w63, w64, w65, w66, w67, w68, w69, w70, w71, w72, w73, w74, w75, w76, w77, w78, w79, w80, w81, w82, w83, w84, w85, w86, w87, w88, w89, w90, w91, w92, w93, w94, w95, w96, w97, w98, w99, w100, w101, w102, w103, w104, w105, w106, w107, w108, w109, w110, w111, w112, w113, w114, w115, w116, w117, w118, w119, w120, w121, w122, w123, w124, w125, w126, w127, w128, w129, w130, w131, w132, w133, w134, w135, w136, w137, w138, w139, w140, w141, w142, w143, w144, w145, w146, w147, w148, w149, w150, w151, w152, w153, w154, w155, w156, w157, w158, w159, w160, w161, w162, w163, w164, w165, w166, w167, w168, w169, w170, w171, w172, w173, w174, w175, w176, w177, w178, w179, w180, w181, w182, w183, w184, w185, w186, w187, w188, w189, w190, w191, w192, w193, w194, w195, w196, w197, w198, w199, w200, w201, w202, w203, w204, w205, w206, w207, w208, w209, w210, w211, w212, w213, w214, w215, w216, w217, w218, w219, w220, w221, w222, w223, w224, w225, w226, w227, w228, w229, w230, w231, w232, w233, w234, w235, w236, w237, w238, w239, w240, w241, w242, w243, w244, w245, w246, w247, w248, w249, w250
MEN_PREFERENCES:
m1: w42, w41, w90, w239, w59, w111, w213, w45, w33, w18, w136, w224, w138, w58, w123, w98, w122, w121, w144, w65, w107, w16, w231, w241, w75, w171, w51, w161, w170, w101, w5, w83, w77, w68, w150, w237, w22, w172, w25, w49, w238, w227, w216, w176, w158, w80, w109, w44, w110, w202, w100, w164, w225, w223, w11, w70, w81, w203, w112, w196, w174, w46, w212, w120, w201, w187, w182, w245, w163, w230, w156, w21, w194, w180, w243, w215, w177, w131, w220, w115, w209, w207, w108, w166, w87, w247, w36, w178, w82, w246, w1, w195, w169, w232, w183, w95, w102, w168, w147, w39, w248, w9, w30, w31, w12, w162, w191, w23, w160, w250, w28, w219, w10, w206, w149, w52, w142, w3, w74, w155, w8, w106, w34, w165, w124, w61, w167, w139, w93, w129, w218, w94, w228, w66, w188, w135, w193, w13, w185, w32, w84, w117, w105, w226, w113, w134, w233, w78, w40, w99, w73, w130, w92, w17, w56, w103, w148, w242, w153, w125, w96, w57, w249, w199, w37, w97, w64, w86, w69, w38, w159, w151, w205, w200, w2, w119, w234, w145, w189, w91, w179, w217, w146, w85, w26, w235, w173, w132, w128, w24, w221, w133, w126, w19, w204, w214, w35, w63, w244, w88, w7, w118, w210, w104, w54, w127, w89, w55, w76, w116, w6, w175, w67, w62, w14, w47, w157, w114, w154, w190, w79, w15, w71, w222, w60, w29, w181, w27, w184, w197, w53, w72, w4, w48, w50, w211, w198, w137, w186, w20, w141, w140, w192, w208, w43, w236, w143, w229, w152, w240
m2: w63, w149, w138, w91, w77, w233, w167, w50, w73, w152, w1, w134, w71, w247, w135, w192, w36, w236, w59, w137, w232, w234, w140, w24, w2, w90, w117, w216, w26, w118, w170, w109, w205, w58, w183, w238, w65, w76, w82, w211, w21, w200, w212, w153, w189, w114, w52, w172, w132, w139, w92, w48, w222, w209, w38, w165, w225, w39, w115, w8, w242, w23, w120, w202, w106, w57, w86, w97, w166, w44, w155, w19, w176, w241, w84, w25, w130, w221, w175, w69, w245, w104, w80, w53, w174, w42, w129, w75, w30, w54, w223, w231, w198, w14, w33, w219, w177, w188, w173, w193, w214, w20, w184, w116, w6, w169, w27, w108, w45, w161, w199, w10, w61, w101, w66, w68, w154, w49, w112, w123, w151, w186, w244, w70, w228, w103, w213, w15, w207, w13, w201, w215, w62, w11, w35, w34, w239, w89, w125, w113, w224, w72, w87, w28, w4, w22, w51, w43, w220, w187, w12, w194, w56, w141, w81, w121, w142, w230, w226, w178, w99, w131, w5, w164, w180, w41, w240, w7, w3, w195, w179, w229, w203, w143, w105, w119, w124, w74, w16, w159, w191, w218, w29, w157, w46, w249, w127, w150, w9, w185, w250, w37, w126, w243, w145, w94, w147, w136, w160, w32, w182, w144, w197, w196, w204, w17, w168, w40, w237, w156, w18, w162, w111, w146, w96, w79, w55, w67, w163, w88, w171, w148, w122, w85, w133, w64, w181, w98, w93, w227, w60, w158, w246, w47, w190, w100, w107, w206, w208, w95, w217, w83, w128, w31, w210, w102, w235, w110, w78, w248
m3: w219, w74, w189, w207, w121, w92, w242, w141, w95, w27, w60, w32, w105, w198, w201, w224, w123, w112, w234, w36, w236, w44, w188, w68, w163, w126, w66, w211, w83, w124, w47, w93, w3, w134, w9, w20, w70, w142, w76, w168, w65, w199, w52, w206, w129, w139, w71, w98, w77, w140, w146, w130, w13, w55, w94, w78, w7, w99, w245, w247, w24, w184, w131, w158, w157, w107, w237, w81, w187, w33, w45, w26, w220, w217, w137, w31, w91, w170, w249, w225, w4, w82, w110, w152, w90, w122, w106, w50, w100, w108, w174, w148, w150, w179, w116, w223, w177, w197, w212, w59, w230, w119, w175, w23, w153, w243, w250, w164, w195, w12, w135, w79, w38, w155, w238, w104, w63, w69, w80, w241, w30, w87, w178, w209, w182, w185, w22, w46, w133, w48, w84, w56, w86, w18, w228, w118, w147, w43, w204, w2, w53, w37, w248, w17, w57, w172, w49, w145, w28, w125, w169, w35, w88, w200, w165, w183, w115, w73, w138, w40, w14, w186, w103, w117, w96, w232, w227, w210, w244, w151, w192, w19, w21, w202, w149, w5, w235, w127, w246, w193, w132, w102, w8, w16, w97, w120, w42, w6, w113, w101, w191, w64, w15, w143, w229, w128, w171, w240, w136, w1, w160, w34, w208, w29, w190, w58, w173, w180, w109, w161, w54, w89, w203, w214, w51, w114, w61, w216, w62, w196, w144, w233, w176, w10, w181, w221, w41, w231, w215, w11, w167, w72, w75, w222, w154, w213, w166, w156, w205, w218, w111, w39, w85, w226, w162, w67, w194, w159, w25, w239
m4: w170, w3, w210, w223, w179, w144, w65, w174, w54, w122, w224, w92, w137, w187, w247, w148, w235, w20, w4, w169, w189, w147, w183, w95, w154, w239, w100, w196, w222, w15, w105, w19, w86, w168, w49, w38, w234, w74, w99, w207, w233, w103, w177, w41, w167, w186, w214, w129, w188, w51, w198, w143, w245, w70, w133, w113, w79, w145, w250, w227, w163, w87, w231, w84, w166, w121, w114, w21, w206, w6, w204, w36, w226, w1, w2, w117, w202, w78, w126, w24, w12, w26, w161, w75, w153, w138, w68, w191, w35, w42, w160, w107, w130, w197, w236, w119, w185, w101, w16, w123, w165, w76, w248, w111, w88, w102, w45, w193, w62, w178, w205, w85, w29, w209, w11, w69, w5, w151, w115, w211, w109, w47, w172, w184, w120, w221, w152, w7, w225, w90, w194, w175, w93, w104, w246, w164, w201, w80, w134, w136, w50, w139, w230, w157, w173, w23, w96, w128, w25, w218, w132, w9, w182, w213, w18, w94, w52, w171, w98, w249, w116, w146, w31, w82, w242, w27, w32, w208, w180, w106, w229, w176, w195, w56, w135, w162, w192, w118, w91, w37, w232, w238, w110, w58, w64, w43, w39, w215, w46, w150, w199, w60, w83, w237, w55, w159, w190, w158, w71, w203, w140, w81, w8, w240, w131, w72, w57, w73, w66, w155, w33, w67, w141, w14, w243, w34, w61, w217, w219, w97, w63, w142, w127, w59, w30, w77, w53, w28, w89, w156, w241, w10, w108, w44, w220, w125, w181, w244, w124, w216, w40, w48, w149, w13, w212, w17, w228, w112, w22, w200
m5: w77, w228, w111, w132, w47, w75, w27, w148, w243, w97, w174, w169, w69, w242, w172, w158, w59, w18, w187, w130, w17, w200, w181, w136, w247, w12, w13, w159, w150, w162, w9, w11, w208, w44, w221, w34, w48, w40, w10, w183, w212, w57, w167, w100, w225, w236, w20, w249, w83, w149, w196, w217, w50, w157, w154, w224, w205, w91, w239, w41, w229, w72, w230, w37, w232, w146, w166, w118, w201, w123, w177, w6, w215, w184, w161, w250, w121, w39, w189, w160, w131, w220, w38, w113, w51, w195, w233, w16, w32, w194, w110, w216, w82, w163, w134, w105, w22, w214, w87, w122, w45, w238, w116, w119, w120, w102, w94, w101, w68, w31, w26, w248, w108, w237, w170, w95, w156, w53, w114, w106, w86, w197, w206, w125, w198, w19, w61, w192, w3, w223, w155, w240, w4, w109, w128, w140, w79, w147, w7, w49, w135, w234, w88, w180, w142, w186, w218, w85, w24, w207, w104, w141, w5, w231, w117, w98, w145, w235, w66, w89, w219, w151, w14, w62, w129, w67, w90, w42, w96, w143, w226, w178, w23, w21, w246, w103, w176, w138, w210, w191, w227, w209, w81, w112, w84, w164, w139, w175, w126, w127, w76, w52, w171, w213, w43, w93, w65, w29, w60, w99, w188, w54, w137, w241, w185, w182, w203, w244, w202, w245, w133, w35, w107, w33, w46, w28, w92, w64, w71, w179, w115, w15, w74, w199, w78, w144, w168, w73, w56, w193, w2, w80, w222, w70, w63, w153, w36, w190, w124, w204, w211, w58, w30, w152, w173, w165, w25, w55, w1, w8
m6: w93, w185, w199, w182, w34, w78, w201, w9, w10, w13, w25, w229, w211, w35, w165, w108, w130, w27, w103, w62, w235, w118, w87, w2, w135, w17, w143, w58, w16, w232, w220, w92, w36, w212, w166, w226, w83, w178, w55, w172, w171, w210, w159, w117, w67, w218, w4, w250, w100, w115, w121, w33, w214, w64, w97, w82, w238, w195, w138, w142, w56, w65, w233, w219, w240, w170, w137, w190, w149, w153, w30, w173, w224, w111, w120, w40, w102, w160, w8, w205, w46, w37, w101, w225, w188, w215, w15, w94, w198, w180, w39, w19, w155, w151, w75, w248, w105, w239, w132, w242, w22, w176, w26, w73, w127, w43, w88, w209, w154, w74, w66, w169, w31, w193, w177, w60, w197, w114, w245, w206, w244, w227, w112, w91, w38, w71, w45, w141, w174, w47, w61, w133, w221, w113, w7, w6, w136, w106, w29, w167, w194, w119, w41, w216, w243, w129, w59, w140, w86, w191, w148, w32, w89, w14, w179, w184, w28, w161, w204, w51, w18, w124, w1, w11, w104, w128, w123, w49, w222, w200, w146, w80, w181, w98, w96, w223, w69, w186, w168, w85, w21, w52, w237, w42, w70, w156, w3, w208, w12, w152, w202, w157, w24, w131, w122, w109, w76, w63, w84, w79, w81, w95, w57, w189, w231, w162, w48, w139, w164, w228, w68, w163, w158, w107, w196, w207, w241, w23, w72, w53, w249, w246, w187, w50, w126, w77, w150, w217, w234, w147, w134, w116, w110, w99, w213, w236, w5, w203, w54, w144, w247, w145, w125, w183, w90, w230, w20, w192, w175, w44
m7: w180, w216, w68, w9, w61, w93, w234, w108, w239, w188, w112, w58, w144, w227, w123, w43, w127, w221, w235, w31, w6, w205, w225, w177, w237, w76, w20, w114, w143, w98, w147, w91, w13, w103, w97, w124, w41, w246, w19, w179, w169, w94, w67, w79, w219, w181, w164, w146, w57, w184, w131, w22, w249, w109, w83, w203, w46, w228, w44, w105, w141, w199, w56, w85, w81, w152, w245, w125, w28, w155, w72, w26, w229, w167, w209, w224, w4, w75, w88, w241, w137, w54, w47, w30, w122, w240, w40, w16, w217, w27, w238, w210, w230, w38, w50, w132, w193, w95, w236, w197, w45, w186, w207, w119, w220, w202, w133, w175, w151, w60, w18, w42, w213, w153, w48, w55, w65, w154, w130, w134, w52, w150, w182, w140, w211, w70, w201, w178, w190, w110, w87, w129, w24, w74, w189, w145, w159, w198, w102, w243, w59, w100, w232, w226, w218, w36, w176, w77, w128, w192, w12, w149, w214, w62, w148, w166, w161, w104, w32, w185, w14, w17, w231, w39, w222, w248, w53, w163, w204, w71, w121, w92, w21, w86, w7, w244, w126, w174, w117, w208, w63, w158, w2, w187, w200, w233, w25, w80, w106, w139, w49, w118, w115, w168, w84, w90, w135, w136, w15, w120, w89, w11, w165, w223, w33, w195, w171, w8, w37, w160, w250, w73, w206, w172, w113, w101, w212, w142, w157, w242, w156, w196, w247, w183, w51, w3, w29, w116, w138, w99, w162, w35, w173, w82, w66, w23, w69, w194, w34, w215, w170, w96, w64, w78, w191, w107, w10, w1, w5, w111
m8: w115, w49, w228, w246, w119, w60, w103, w167, w57, w122, w178, w9, w13, w187, w140, w123, w190, w28, w55, w71, w233, w70, w223, w78, w88, w131, w243, w183, w203, w176, w15, w76, w66, w216, w128, w52, w198, w137, w171, w48, w82, w172, w248, w250, w209, w139, w6, w129, w142, w179, w44, w192, w96, w4, w148, w14, w218, w64, w230, w102, w39, w54, w36, w234, w18, w29, w173, w169, w22, w143, w10, w47, w61, w121, w58, w124, w43, w191, w81, w166, w160, w134, w130, w68, w236, w30, w149, w157, w53, w85, w65, w56, w37, w27, w32, w249, w92, w87, w208, w63, w3, w159, w101, w170, w232, w215, w165, w239, w220, w153, w199, w72, w93, w46, w161, w41, w62, w89, w177, w152, w107, w2, w98, w200, w59, w211, w105, w217, w95, w135, w210, w154, w212, w110, w67, w205, w180, w235, w34, w226, w104, w19, w247, w26, w7, w222, w75, w163, w168, w231, w136, w112, w86, w156, w25, w181, w146, w116, w155, w108, w120, w150, w182, w204, w144, w186, w195, w109, w90, w189, w50, w147, w114, w237, w117, w74, w184, w38, w127, w8, w91, w188, w45, w151, w244, w174, w245, w175, w111, w20, w219, w51, w35, w84, w241, w94, w80, w194, w229, w238, w221, w158, w11, w42, w31, w17, w224, w1, w23, w193, w197, w202, w214, w132, w69, w73, w164, w196, w138, w33, w113, w79, w126, w225, w16, w100, w141, w213, w12, w118, w125, w145, w240, w106, w83, w206, w21, w40, w133, w207, w97, w5, w24, w201, w77, w185, w242, w162, w227, w99
